"Service","Service Bundle","Service Code","Object","EXPENDITURE","REVENUE"
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","040 Purchased Services",319483,0
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","050 Materials & Supplies",1868896,0
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","060 Furniture & Equipment",93728,0
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","070 Transfers",-135282,0
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","080 Other Expenses",47000,0
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","120 Government Grants & Subsidies",0,-9770235
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","130 User Fees",0,-4870381
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","140 Other Municipal Revenues",0,-55000
"7 Social & Health Services","7.2 Long Term Care","7.2.3 Homemakers","010 Personnel Costs",28799,0
"7 Social & Health Services","7.2 Long Term Care","7.2.3 Homemakers","040 Purchased Services",180000,0
"7 Social & Health Services","7.2 Long Term Care","7.2.3 Homemakers","120 Government Grants & Subsidies",0,-144000
"7 Social & Health Services","7.3 Primary Health Care Services","7.3.3 Land Ambulance","040 Purchased Services",10015727,0
"7 Social & Health Services","7.3 Primary Health Care Services","7.3.4 Public Health","070 Transfers",6198977,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.2 Homeless Supp & Emerg Shelters","040 Purchased Services",7292547,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.2 Homeless Supp & Emerg Shelters","070 Transfers",285000,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.2 Homeless Supp & Emerg Shelters","120 Government Grants & Subsidies",0,-6066752
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.3 Substance Abuse (London CAReS)","040 Purchased Services",1250255,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.3 Substance Abuse (London CAReS)","140 Other Municipal Revenues",0,-512500
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.4 Immigration Services","020 Administrative Expenses",29950,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.4 Immigration Services","040 Purchased Services",187200,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.4 Immigration Services","050 Materials & Supplies",24850,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.4 Immigration Services","120 Government Grants & Subsidies",0,-242000
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.5 Subsidized Transit","040 Purchased Services",532576,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","010 Personnel Costs",16628395,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","020 Administrative Expenses",260177,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","040 Purchased Services",7955486,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","050 Materials & Supplies",302824,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","060 Furniture & Equipment",217929,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","070 Transfers",102618204,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","080 Other Expenses",-24615,0
"7 Social & Health Services","7.4 Social & Comm Support Services","7.4.6 Ontario Works","120 Government Grants & Subsidies",0,-95174901
"8 Transportation Services","8.1 Parking","8.1.1 Parking","010 Personnel Costs",976685,0
"8 Transportation Services","8.1 Parking","8.1.1 Parking","020 Administrative Expenses",9625,0
"8 Transportation Services","8.1 Parking","8.1.1 Parking","030 Financial Expenses",72000,0
"8 Transportation Services","8.1 Parking","8.1.1 Parking","040 Purchased Services",1275213,0
"8 Transportation Services","8.1 Parking","8.1.1 Parking","050 Materials & Supplies",119412,0
"8 Transportation Services","8.1 Parking","8.1.1 Parking","060 Furniture & Equipment",52807,0
"8 Transportation Services","8.1 Parking","8.1.1 Parking","080 Other Expenses",2000,0
"8 Transportation Services","8.1 Parking","8.1.1 Parking","130 User Fees",0,-4525900
"8 Transportation Services","8.1 Parking","8.1.1 Parking","140 Other Municipal Revenues",0,-126000
"8 Transportation Services","8.2 Public Transit","8.2.1 Transit -Conventional","070 Transfers",19882500,0
"8 Transportation Services","8.2 Public Transit","8.2.2 Transit - Specialized","070 Transfers",3022900,0
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","010 Personnel Costs",6090995,0
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","020 Administrative Expenses",157559,0
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","040 Purchased Services",741082,0
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","050 Materials & Supplies",1481054,0
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","060 Furniture & Equipment",2752122,0
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","090 Recovered Expenses",-73000,0
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","120 Government Grants & Subsidies",0,-90000
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","130 User Fees",0,-242000
"8 Transportation Services","8.3 Roadways","8.3.2 Roadway Maintenance","140 Other Municipal Revenues",0,-2550290
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","010 Personnel Costs",3009417,0
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","020 Administrative Expenses",26570,0
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","040 Purchased Services",151615,0
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","050 Materials & Supplies",11567,0
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","060 Furniture & Equipment",50251,0
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","090 Recovered Expenses",-619164,0
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","130 User Fees",0,-206300
"8 Transportation Services","8.3 Roadways","8.3.3 Roadway Planning & Design","140 Other Municipal Revenues",0,-765328
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","010 Personnel Costs",4105748,0
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","020 Administrative Expenses",7000,0
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","040 Purchased Services",90000,0
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","050 Materials & Supplies",2770150,0
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","060 Furniture & Equipment",5290013,0
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","080 Other Expenses",22000,0
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","090 Recovered Expenses",-127000,0
"8 Transportation Services","8.3 Roadways","8.3.4 Snow Control","130 User Fees",0,-352804
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","010 Personnel Costs",1813425,0
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","020 Administrative Expenses",12150,0
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","030 Financial Expenses",20000,0
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","040 Purchased Services",4712809,0
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","050 Materials & Supplies",3596825,0
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","060 Furniture & Equipment",309455,0
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","090 Recovered Expenses",-80000,0
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","130 User Fees",0,-35000
"8 Transportation Services","8.3 Roadways","8.3.5 Traffic Control & Lighting","140 Other Municipal Revenues",0,-300000
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","010 Personnel Costs",1196715,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","020 Administrative Expenses",459000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","030 Financial Expenses",135000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","040 Purchased Services",599500,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","050 Materials & Supplies",18000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","060 Furniture & Equipment",47191,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","070 Transfers",124000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","130 User Fees",0,-142300
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.1 Administrative Services","140 Other Municipal Revenues",0,-25000
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.2 Asset Management","010 Personnel Costs",608214,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.2 Asset Management","020 Administrative Expenses",25033,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.2 Asset Management","040 Purchased Services",1088400,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.2 Asset Management","050 Materials & Supplies",1261,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.2 Asset Management","060 Furniture & Equipment",3290,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.3 Dispatch","010 Personnel Costs",629765,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.3 Dispatch","020 Administrative Expenses",3550,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.3 Dispatch","040 Purchased Services",65000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.3 Dispatch","050 Materials & Supplies",2625,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.3 Dispatch","060 Furniture & Equipment",108882,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.3 Dispatch","090 Recovered Expenses",-122183,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.3 Dispatch","140 Other Municipal Revenues",0,-158294
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.4 Energy Conservation","010 Personnel Costs",156664,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.4 Energy Conservation","020 Administrative Expenses",1250,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.4 Energy Conservation","040 Purchased Services",8600,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.4 Energy Conservation","050 Materials & Supplies",24000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.4 Energy Conservation","060 Furniture & Equipment",6350,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","010 Personnel Costs",4840675,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","020 Administrative Expenses",71152,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","040 Purchased Services",2677012,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","050 Materials & Supplies",5279041,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","060 Furniture & Equipment",335938,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","080 Other Expenses",10300,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","090 Recovered Expenses",-419139,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","130 User Fees",0,-28000
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.5 Facilities","140 Other Municipal Revenues",0,-263083
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","010 Personnel Costs",4416828,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","020 Administrative Expenses",59750,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","030 Financial Expenses",4116385,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","040 Purchased Services",1032214,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","050 Materials & Supplies",4416168,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","060 Furniture & Equipment",230673,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","080 Other Expenses",35000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.7 Fleet Management","090 Recovered Expenses",-14307018,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.8 Graphics,Surveying & Tech Serv","010 Personnel Costs",1068315,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.8 Graphics,Surveying & Tech Serv","020 Administrative Expenses",1275,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.8 Graphics,Surveying & Tech Serv","040 Purchased Services",47350,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.8 Graphics,Surveying & Tech Serv","050 Materials & Supplies",6255,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.8 Graphics,Surveying & Tech Serv","060 Furniture & Equipment",25111,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.8 Graphics,Surveying & Tech Serv","090 Recovered Expenses",-353001,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.8 Graphics,Surveying & Tech Serv","130 User Fees",0,-2500
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","010 Personnel Costs",3438977,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","020 Administrative Expenses",936389,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","040 Purchased Services",770313,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","050 Materials & Supplies",38961,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","060 Furniture & Equipment",37222,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","080 Other Expenses",281,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","090 Recovered Expenses",-13763,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","130 User Fees",0,-2500
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.9 Human Resources","140 Other Municipal Revenues",0,-731485
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.11 Legal Services","010 Personnel Costs",1976984,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.11 Legal Services","020 Administrative Expenses",50142,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.11 Legal Services","040 Purchased Services",422987,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.11 Legal Services","050 Materials & Supplies",49278,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.11 Legal Services","060 Furniture & Equipment",19297,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.11 Legal Services","140 Other Municipal Revenues",0,-14993
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.12 Payroll","010 Personnel Costs",1464235,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.12 Payroll","020 Administrative Expenses",21390,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.12 Payroll","040 Purchased Services",960,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.12 Payroll","050 Materials & Supplies",20345,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.12 Payroll","140 Other Municipal Revenues",0,-247150
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.13 Purchasing","010 Personnel Costs",1138634,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.13 Purchasing","020 Administrative Expenses",20860,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.13 Purchasing","040 Purchased Services",1750,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.13 Purchasing","050 Materials & Supplies",9710,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.13 Purchasing","060 Furniture & Equipment",8908,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.13 Purchasing","130 User Fees",0,-15000
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.13 Purchasing","140 Other Municipal Revenues",0,-201261
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.14 Realty Services","010 Personnel Costs",650878,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.14 Realty Services","020 Administrative Expenses",25480,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.14 Realty Services","030 Financial Expenses",195000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.14 Realty Services","040 Purchased Services",90274,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.14 Realty Services","050 Materials & Supplies",14500,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.14 Realty Services","060 Furniture & Equipment",2000,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.14 Realty Services","130 User Fees",0,-836931
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.15 Risk Management","010 Personnel Costs",341874,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.15 Risk Management","020 Administrative Expenses",21830,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.15 Risk Management","040 Purchased Services",25250,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.15 Risk Management","050 Materials & Supplies",3050,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.15 Risk Management","060 Furniture & Equipment",1850,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.15 Risk Management","130 User Fees",0,-4000
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.15 Risk Management","140 Other Municipal Revenues",0,-96826
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","010 Personnel Costs",7538449,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","020 Administrative Expenses",181570,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","040 Purchased Services",5849607,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","050 Materials & Supplies",241058,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","060 Furniture & Equipment",3615541,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","090 Recovered Expenses",-613137,0
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","130 User Fees",0,-12000
"10 Corporate, Oper & Council Serv","10.1 Corporate Services","10.1.16 Technology Services","140 Other Municipal Revenues",0,-532025
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","010 Personnel Costs",2347122,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","020 Administrative Expenses",256762,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","040 Purchased Services",236973,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","050 Materials & Supplies",22755,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","060 Furniture & Equipment",7305,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","070 Transfers",50000,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","120 Government Grants & Subsidies",0,-133109
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.1 Corporate Management","140 Other Municipal Revenues",0,-1071608
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.2 Governmental Liaison","010 Personnel Costs",252767,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.2 Governmental Liaison","020 Administrative Expenses",26825,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.2 Governmental Liaison","040 Purchased Services",500,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.2 Governmental Liaison","050 Materials & Supplies",400,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.3 Information & Archive Mngt","010 Personnel Costs",513467,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.3 Information & Archive Mngt","020 Administrative Expenses",500,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.3 Information & Archive Mngt","040 Purchased Services",62500,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.3 Information & Archive Mngt","050 Materials & Supplies",500,0
"10 Corporate, Oper & Council Serv","10.2 Corporate Planning &  Admin","10.2.3 Information & Archive Mngt","130 User Fees",0,-5000
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.1 Advisory Committees","020 Administrative Expenses",7600,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.1 Advisory Committees","040 Purchased Services",100164,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.1 Advisory Committees","090 Recovered Expenses",-13539,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.2 Audit","040 Purchased Services",300000,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.3 Councillors’ Offices","010 Personnel Costs",927479,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.3 Councillors’ Offices","020 Administrative Expenses",108000,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.3 Councillors’ Offices","040 Purchased Services",87250,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.3 Councillors’ Offices","050 Materials & Supplies",104000,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.3 Councillors’ Offices","060 Furniture & Equipment",10000,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.3 Councillors’ Offices","140 Other Municipal Revenues",0,-1000
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.4 Mayor’s Office","010 Personnel Costs",372078,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.4 Mayor’s Office","020 Administrative Expenses",21800,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.4 Mayor’s Office","040 Purchased Services",45950,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.4 Mayor’s Office","050 Materials & Supplies",10550,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.4 Mayor’s Office","060 Furniture & Equipment",5000,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.5 Municipal Election","020 Administrative Expenses",1892,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","010 Personnel Costs",871605,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","020 Administrative Expenses",56515,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","040 Purchased Services",47300,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","050 Materials & Supplies",55956,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","060 Furniture & Equipment",1765,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","070 Transfers",4000,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","090 Recovered Expenses",-28500,0
"10 Corporate, Oper & Council Serv","10.3 Council Services","10.3.6 Secretariat Support-City Clerk","140 Other Municipal Revenues",0,-28057
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.1 Capital Costs & Contingencies","010 Personnel Costs",5753126,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.1 Capital Costs & Contingencies","020 Administrative Expenses",250000,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.1 Capital Costs & Contingencies","030 Financial Expenses",89086907,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.1 Capital Costs & Contingencies","040 Purchased Services",6541172,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.1 Capital Costs & Contingencies","080 Other Expenses",18000,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.2 Corporate Revenues","030 Financial Expenses",400000,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.2 Corporate Revenues","090 Recovered Expenses",-75000,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.2 Corporate Revenues","100 Taxes Levied",0,-462725157
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.2 Corporate Revenues","110 Other Taxation",0,-14554485
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.2 Corporate Revenues","120 Government Grants & Subsidies",0,-918000
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.2 Corporate Revenues","130 User Fees",0,-450000
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.2 Corporate Revenues","140 Other Municipal Revenues",0,-19246961
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.3 Financial Planning & Reporting","010 Personnel Costs",1099228,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.3 Financial Planning & Reporting","020 Administrative Expenses",16500,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.3 Financial Planning & Reporting","040 Purchased Services",10400,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.3 Financial Planning & Reporting","050 Materials & Supplies",12700,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.3 Financial Planning & Reporting","060 Furniture & Equipment",3305,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.3 Financial Planning & Reporting","140 Other Municipal Revenues",0,-268432
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","010 Personnel Costs",2453726,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","020 Administrative Expenses",52925,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","040 Purchased Services",70180,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","050 Materials & Supplies",28093,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","060 Furniture & Equipment",51000,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","090 Recovered Expenses",-460597,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","130 User Fees",0,-18500
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.4 Financial Services","140 Other Municipal Revenues",0,-269388
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.5 Bus. Plan. & Cont. Improvement","010 Personnel Costs",598955,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.5 Bus. Plan. & Cont. Improvement","020 Administrative Expenses",18500,0
